,Estimated Earnings,Actual Earnings,Evenly Weighted Avg,Transaction Costs,Strategy Portfolio Growth,Avg Mean Portfolio Growth,Percentage Growth Difference,Strategy Annual Return,Avg Mean Annual Return,Annual Return Diference
2018-02-22,0.010591416072253867,0.005482753201670153,-1.8285829466907505e-05,0.0008,0.5215205991091315,0.99876258176883,-0.47783326224986594,-0.15820046594699708,-0.000438087532039659,-0.1577623784149574
2018-02-23,0.010042114157312407,-0.034556081391885124,-2.986986299610884e-05,0.0008,0.5034988908387716,0.998732748867347,-0.4958622400138728,-0.12939125775998903,-0.000435731406702569,-0.12895552635328647
2018-02-26,0.00944631032459616,-0.039665903623533776,-6.503410673773596e-05,0.0008,0.48352715236020477,0.9986677971751546,-0.5158278321100206,-0.08918638944248265,-0.00039429613295397404,-0.08879209330952868
2018-02-27,0.009386306873309451,-0.06369831686140179,-8.990592371717823e-05,0.0008,0.45272728659807315,0.998578011024363,-0.5466280234494092,-0.032137717730393575,-0.0003333440454954599,-0.031804373684898114
2018-02-28,0.009606710208194478,-0.01786592760641358,-6.610671531424636e-05,0.0008,0.44463889367026393,0.9985119983120692,-0.554698496941547,0.03212284948537825,-0.0002850292813758886,0.03240787876675414
2018-03-01,0.0112060486160799,-0.03156173513653751,-4.897605093111534e-05,0.0008,0.43060531867684,0.9984630951375845,-0.5687318632267483,0.08707611351166125,-0.00020292293257771857,0.08727903644423897
2018-03-02,0.010852559988628415,0.012564670597754296,9.066015313257694e-06,0.0008,0.43601573266365545,0.9984721472192948,-0.5633170801229239,0.11629209954030376,-0.00018949261606056954,0.11648159215636432
2018-03-05,0.011837954434034218,0.012621170537763642,4.390058201413983e-05,0.0008,0.44151876158275144,0.9985159807276826,-0.5578250422582236,0.11676670429258718,-0.00020971696950125912,0.11697642126208843
2018-03-06,0.0100975107731623,-0.03298488564405177,-8.391689946532607e-05,0.0008,0.42695531572224105,0.9984321883625134,-0.5723742476467306,0.24831256365507778,1.3652096668875344e-05,0.2482989115584089
2018-03-07,0.011246142256062196,-0.008030488668218799,-5.759601920973612e-05,0.0008,0.42352665589749783,0.9983746826430128,-0.5757838582441923,0.32006744982695823,0.00019547494782788013,0.3198719748791303
2018-03-08,0.009368416447440374,0.02132372210434161,3.853038569577047e-06,0.0008,0.4325578206116372,0.9983785294191718,-0.5667396604940143,0.345913101014406,0.0002281807821743009,0.3456849202322317
2018-03-09,0.011513704199883887,0.015769552889162135,-1.1196126224748989e-05,0.0008,0.43937906404139315,0.9983673514471363,-0.5599024112672435,0.35476683763889794,0.00030574681151766315,0.35446109082738025
2018-03-12,0.009497379277531188,-0.0008267729211810043,-4.2384311531843114e-05,0.0008,0.43901579732910984,0.9983250363342894,-0.5602476334349834,0.41532261244234125,0.0004143240123950892,0.41490828842994615
